metric-dataset,mode,r2,mse,inference 74k+
wr_sec/s_-../datasets/ssd.csv,r2,0.7667552233317105,29104722790.963726,1.3008787631988525
wr_sec/s_-../datasets/ssd.csv,r2,0.6195510576321397,47473135998.57907,2.3567147254943848
wr_sec/s_-../datasets/ssd.csv,r2,0.6195510576321397,47473135998.57907,2.0848300457000732
wr_sec/s_-../datasets/ssd.csv,r2,0.6651705912448469,41780644622.70937,2.8043065071105957
wr_sec/s_-../datasets/ssd.csv,r2,0.6651705912448469,41780644622.70937,2.209927558898926
Avgrq-sz_,../datasets/ssd.csv,0.931659805829187,12487.692742311237,2.1023049354553223
Avgrq-sz_,../datasets/ssd.csv,0.931659805829187,12487.692742311237,2.2407450675964355
Avgrq-sz_,../datasets/ssd.csv,0.9710008020031229,5298.9763747717,1.4080226421356201
Avgrq-sz_,../datasets/ssd.csv,0.9710008020031229,5298.9763747717,1.5082550048828125
Avgrq-sz_,../datasets/ssd.csv,0.9562436511859179,7995.526587909774,1.3575751781463623
Avgrq-sz_,../datasets/ssd.csv,0.9562436511859179,7995.526587909774,1.3395066261291504
Avgrq-sz_,../datasets/ssd.csv,0.9460208184833897,9863.528212636571,1.3564960956573486
Avgrq-sz_,../datasets/ssd.csv,0.9460208184833897,9863.528212636571,1.3371446132659912
Avgrq-sz_,../datasets/ssd.csv,0.9175735011400581,15061.660331468987,1.3617198467254639
Avgrq-sz_,../datasets/ssd.csv,0.9175735011400581,15061.660331468987,1.3528151512145996
Avgrq-sz_,../datasets/ssd.csv,0.9057617025080362,17220.011121079955,2.9399614334106445
Avgrq-sz_,../datasets/ssd.csv,0.9057617025080362,17220.011121079955,2.9456000328063965
Avgrq-sz_,../datasets/ssd.csv,0.9605510541794611,7208.441831225663,1.3479998111724854
Avgrq-sz_,../datasets/ssd.csv,0.9605510541794611,7208.441831225663,1.3358783721923828
Avgrq-sz_,../datasets/ssd.csv,0.9260280883037316,13516.767343615353,2.298853635787964
Avgrq-sz_,../datasets/ssd.csv,0.9260280883037316,13516.767343615353,2.2739763259887695
Avgrq-sz_,../datasets/ssd.csv,0.9402484668121226,10918.300663109592,2.686086654663086
Avgrq-sz_,../datasets/ssd.csv,0.9402484668121226,10918.300663109592,2.4120545387268066
await_-../datasets/ssd.csv,r2,0.7132188543660205,2488.7523199448865,2.2723124027252197
await_-../datasets/ssd.csv,r2,0.7132188543660205,2488.7523199448865,2.449512243270874
await_-../datasets/ssd.csv,r2,0.8647773875945949,1173.4927328956367,1.7199854850769043
await_-../datasets/ssd.csv,r2,0.8647773875945949,1173.4927328956367,1.8293204307556152
await_-../datasets/ssd.csv,r2,0.1952856688345197,6983.494867326768,9.372895002365112
await_-../datasets/ssd.csv,r2,0.1952856688345197,6983.494867326768,9.287858963012695
await_-../datasets/ssd.csv,r2,0.796569528309394,1765.41612332373,1.3153271675109863
await_-../datasets/ssd.csv,r2,0.796569528309394,1765.41612332373,1.2987773418426514
await_-../datasets/ssd.csv,r2,0.7610226517693313,2073.9000414708007,1.3036222457885742
await_-../datasets/ssd.csv,r2,0.7610226517693313,2073.9000414708007,1.2864716053009033
await_-../datasets/ssd.csv,r2,0.7662218312629822,2028.7803736557196,1.287374496459961
await_-../datasets/ssd.csv,r2,0.7662218312629822,2028.7803736557196,1.2967219352722168
await_-../datasets/ssd.csv,r2,0.6662529688007501,2896.3330080003534,2.6212613582611084
await_-../datasets/ssd.csv,r2,0.6662529688007501,2896.3330080003534,2.2090094089508057
await_-../datasets/ssd.csv,r2,0.7883545069257193,1836.7079562711847,1.3261439800262451
await_-../datasets/ssd.csv,r2,0.7883545069257193,1836.7079562711847,1.329488754272461
await_-../datasets/ssd.csv,r2,0.6900957577202418,2689.419836961294,1.968292236328125
await_-../datasets/ssd.csv,r2,0.6900957577202418,2689.419836961294,1.950214147567749
await_-../datasets/ssd.csv,r2,0.7381608159300869,2272.300277502137,2.2873454093933105
await_-../datasets/ssd.csv,r2,0.7381608159300869,2272.300277502137,2.2564070224761963
await_-../datasets/ssd.csv,r2,0.6602712189201719,2948.2440004741043,9.614016771316528
await_-../datasets/ssd.csv,r2,0.6602712189201719,2948.2440004741043,9.603979587554932
await_-../datasets/ssd.csv,r2,0.23205809775277808,6664.3753255660695,9.627963304519653
await_-../datasets/ssd.csv,r2,0.23205809775277808,6664.3753255660695,9.59289813041687
await_-../datasets/ssd.csv,r2,0.2168128904990213,6796.676718103404,9.715646982192993
await_-../datasets/ssd.csv,r2,0.2168128904990213,6796.676718103404,9.885904312133789
await_-../datasets/ssd.csv,r2,0.3766317506197242,5409.732126550664,9.647817134857178
await_-../datasets/ssd.csv,r2,0.3766317506197242,5409.732126550664,9.757182359695435
svctm_-../datasets/ssd.csv,r2,0.19288013333060205,1.0117392218501897,9.83653736114502
svctm_-../datasets/ssd.csv,r2,0.19288013333060205,1.0117392218501897,9.76756763458252
%util_-../datasets/ssd.csv,r2,0.04912617043667167,23.526707592347435,2.2241313457489014
%util_-../datasets/ssd.csv,r2,0.04912617043667167,23.526707592347435,2.1720852851867676
%util_-../datasets/ssd.csv,r2,0.18948771615215998,20.053854580108474,1.4023642539978027
%util_-../datasets/ssd.csv,r2,0.18948771615215998,20.053854580108474,1.4307961463928223
%util_-../datasets/ssd.csv,r2,0.2200726393221133,19.29711638647836,1.3891713619232178
%util_-../datasets/ssd.csv,r2,0.2200726393221133,19.29711638647836,1.354386806488037
%util_-../datasets/ssd.csv,r2,0.6826801840522484,7.851189391224123,9.66860032081604
