model,metric_dataset,r2,mae,mse,bigInference
nvme_tps_5_model,['..',_,'ssd.csv']-r2-mse-0.21572407432747864,10765.287128662581,268978362.84985214,cost:11.667463064193726
nvme_await_5_model,['..',_,'ssd.csv']-r2-mse-0.5336777822790846,10867.573059118691,339325466.7962578,cost:11.265647411346436
hdd_tps_5_model,['..',_,'ssd.csv']-r2-mse-0.5276544706336179,10806.10175510875,337992812.010896,cost:11.402096509933472
ssd_tps_5_model,['..',_,'ssd.csv']-r2-mse-0.4106575621775075,10117.858547203961,312107302.6592554,cost:11.647313117980957
hdd_await_5_model,['..',_,'ssd.csv']-r2-mse-0.5513990451558826,11045.29749761537,343246287.6279665,cost:11.480585098266602
ssd_await_5_model,['..',_,'ssd.csv']-r2-mse-0.5558564139423159,11089.54582814164,344232478.3139214,cost:11.232911825180054
ssd_svctm_5_model,['..',_,'ssd.csv']-r2-mse-0.5568832411036231,11100.038099612459,344459663.32622033,cost:11.268158674240112
nvme_svctm_5_model,['..',_,'ssd.csv']-r2-mse-0.5566280946006972,11097.470735999745,344403212.2859776,cost:11.702959299087524
hdd_svctm_5_model,['..',_,'ssd.csv']-r2-mse-0.5565783018931301,11096.978726460888,344392195.67353565,cost:11.404956102371216
hdd_rd_secps_5_model,['..',_,'ssd.csv']-r2-mse-86.03748308791363,137860.21276492317,19257000993.839367,cost:11.172919034957886
ssd_rd_secps_5_model,['..',_,'ssd.csv']-r2-mse-121.08169620215872,163660.7968298892,27010516178.644245,cost:11.133502721786499
nvme_rd_secps_5_model,['..',_,'ssd.csv']-r2-mse-107.0485440213691,153881.67839344297,23905688052.82163,cost:11.574512481689453
ssd_%util_5_model,['..',_,'ssd.csv']-r2-mse-0.5469339258335741,11000.861016634113,342258382.1397017,cost:11.252772092819214
nvme_%util_5_model,['..',_,'ssd.csv']-r2-mse-0.5470507245268494,11001.95952003299,342284223.7940406,cost:11.43407130241394
hdd_%util_5_model,['..',_,'ssd.csv']-r2-mse-0.5475904084277969,11006.240101624975,342403628.5958362,cost:11.502681732177734
hdd_wr_secps_5_model,['..',_,'ssd.csv']-r2-mse3.86007425897672e-05,12382.910390097382,221240975.45250538,cost:11.478845357894897
nvme_wr_secps_5_model,['..',_,'ssd.csv']-r2-mse-0.5070590742543102,10594.39728079131,333436090.5332741,cost:11.924699306488037
ssd_wr_secps_5_model,['..',_,'ssd.csv']-r2-mse-0.5316629456607525,10896.95331521061,338879685.1699388,cost:11.717916488647461
ssd_Avgrq_sz_5_model,['..',_,'ssd.csv']-r2-mse-0.5070385194115254,10594.122185860633,333431542.7842597,cost:11.311318159103394
hdd_Avgrq_sz_5_model,['..',_,'ssd.csv']-r2-mse-0.5067257305074773,10591.340971162375,333362338.3906764,cost:11.42761778831482
nvme_Avgrq_sz_5_model,['..',_,'ssd.csv']-r2-mse-0.5057046355770751,10581.716096254439,333136421.6316899,cost:11.421089172363281
optimized.model,['..',_,'ssd.csv']-r2-mse0.6395330532008985,95261.90525706884,39455730914.5965,cost:2.901012659072876
convex.model,['..',_,'ssd.csv']-r2-mse0.8427888408589324,57536.98916248464,17207905598.342728,cost:2.10467267036438
50_50_LSTM.model,['..',_,'ssd.csv']-r2-mse-1.4058858884490326,392296.28332096897,263341721255.72144,cost:11.775787115097046
concave.model,['..',_,'ssd.csv']-r2-mse0.7797747618430595,66511.85121996308,24105255182.15095,cost:2.059960126876831
sin.model,['..',_,'ssd.csv']-r2-mse0.7198993904748463,80066.3868263073,30659050369.459496,cost:2.0577311515808105
trend_up.model,['..',_,'ssd.csv']-r2-mse0.7549877356469554,98450.16784679734,26818375606.786156,cost:2.7530832290649414
all_model.model,['..',_,'ssd.csv']-r2-mse0.6446951678718778,105063.55027383957,38890699892.42634,cost:3.1828536987304688
trend_down.model,['..',_,'ssd.csv']-r2-mse0.792927225707919,71438.32333813845,22665622284.533096,cost:2.3188881874084473
optimized+misc.model,['..',_,'ssd.csv']-r2-mse0.637065462580038,97253.81839192586,39725826667.92035,cost:3.690546989440918
